Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Occupation,Education_Level
64.0,Male,Self-Employed,64,12.1,9.2,Excellent,6.7,57.0,1,Moderate,No,Low,Student,High School
28.0,Other,Unemployed,23,9.5,7.3,Good,4.3,41.0,8,Low,No,Low,Civil Engineer,Bachelor
18.0,Female,Employed,50,9.8,8.4,Good,3.1,37.0,1,Low,No,Moderate,Freelancer,Bachelor
23.0,Male,Student,33,6.2,8.1,Good,0.8,51.0,5,Low,No,Low,Teacher,Master
19.0,Other,Employed,29,4.8,4.3,Poor,0.7,49.0,5,Low,No,Low,Nurse,Bachelor
44.0,Female,Employed,64,8.0,5.3,Average,0.4,12.0,7,High,Yes,High,Marketing Manager,Master
44.0,Male,Employed,69,11.3,9.9,Excellent,7.1,17.0,8,Moderate,No,High,Software Engineer,PhD
34.0,Other,Student,61,8.4,6.6,Average,1.7,15.0,6,Moderate,No,Moderate,HR Specialist,Bachelor
57.0,Other,Unemployed,20,3.6,4.1,Poor,5.0,57.0,3,Low,No,Low,Civil Engineer,Master
42.0,Other,Unemployed,40,3.7,8.9,Good,7.3,43.0,0,Low,No,Low,Software Engineer,High School
19.0,Other,Employed,42,10.4,7.9,Good,5.0,25.0,0,Moderate,No,Moderate,Sales Executive,Diploma
62.0,Other,Self-Employed,39,8.9,9.6,Excellent,8.0,37.0,2,Low,No,Low,Farmer,High School
50.0,Male,Employed,59,12.1,7.1,Good,0.1,8.0,1,High,Yes,High,HR Specialist,PhD
26.0,Male,Employed,32,4.6,4.2,Poor,9.5,3.0,7,Moderate,No,Moderate,Data Scientist,High School
51.0,Male,Student,25,2.0,7.0,Good,8.6,7.0,0,Low,No,Low,Teacher,Master
49.0,Female,Student,38,12.7,8.7,Good,7.4,45.0,2,Low,No,Low,HR Specialist,Bachelor
44.0,Female,Employed,40,11.7,7.2,Good,3.8,32.0,3,Moderate,No,Moderate,Data Scientist,PhD
34.0,Male,Employed,59,8.1,7.9,Good,9.7,3.0,7,Moderate,No,Moderate,Sales Executive,Master
39.0,Male,Student,30,7.1,8.7,Good,1.1,52.0,8,Low,No,Low,HR Specialist,Master
54.0,Male,Student,38,10.3,5.8,Average,6.3,1.0,3,Moderate,No,Moderate,Data Scientist,Bachelor
53.0,Other,Employed,58,9.4,4.1,Poor,8.0,6.0,7,High,Yes,High,Doctor,Bachelor
40.0,Female,Employed,26,11.0,7.4,Good,3.0,31.0,5,Low,No,Low,Doctor,PhD
39.0,Female,Employed,60,6.6,8.8,Good,6.3,52.0,7,Low,No,Low,Teacher,Bachelor
63.0,Male,Employed,46,2.9,7.0,Good,3.0,21.0,5,Low,No,Low,Marketing Manager,PhD
64.0,Male,Self-Employed,32,6.0,7.0,Good,9.0,43.0,2,Low,No,Low,Chef,Diploma
46.0,Female,Employed,61,4.2,8.8,Good,7.7,21.0,7,Moderate,No,Moderate,Software Engineer,Diploma
33.0,Female,Employed,36,5.1,9.1,Excellent,4.4,21.0,5,Low,No,Moderate,HR Specialist,Diploma
27.0,Other,Employed,69,3.6,9.8,Excellent,2.7,1.0,7,Moderate,No,Moderate,Doctor,Bachelor
20.0,Other,Employed,30,7.6,5.0,Average,3.1,51.0,7,Low,No,Low,Business Owner,Master
36.0,Male,Student,69,4.0,6.5,Average,7.2,27.0,8,Moderate,No,Moderate,Designer,High School
45.0,Female,Unemployed,53,7.5,7.8,Good,6.7,22.0,5,Moderate,No,Moderate,Business Owner,High School
26.0,Female,Self-Employed,31,3.4,10.0,Excellent,9.5,35.0,1,Low,No,Low,Nurse,High School
30.0,Male,Self-Employed,43,13.0,9.1,Excellent,2.4,44.0,1,Moderate,No,Low,HR Specialist,Diploma
48.0,Male,Employed,22,11.6,5.2,Average,0.7,17.0,6,Moderate,No,High,Student,PhD
19.0,Other,Unemployed,60,10.5,7.4,Good,0.3,52.0,4,Moderate,No,Moderate,Designer,Diploma
55.0,Other,Employed,21,10.7,4.8,Poor,2.2,9.0,0,Low,No,Low,Farmer,Master
19.0,Male,Student,27,5.3,8.6,Good,8.2,57.0,5,Low,No,Low,Marketing Manager,Master
57.0,Other,Employed,61,8.8,4.4,Poor,4.2,44.0,5,Moderate,No,Moderate,Freelancer,High School
36.0,Male,Employed,51,2.0,9.4,Excellent,2.1,3.0,1,Low,No,Low,HR Specialist,Bachelor
34.0,Female,Self-Employed,56,10.6,8.1,Good,7.3,10.0,7,High,Yes,High,Pilot,Bachelor
57.0,Other,Self-Employed,44,2.5,9.1,Excellent,5.3,45.0,4,Low,No,Low,Lawyer,High School
48.0,Male,Student,46,5.7,8.7,Good,5.7,44.0,7,Low,No,Low,Doctor,Diploma
63.0,Female,Student,42,3.3,7.1,Good,3.0,42.0,2,Low,No,Low,Police Officer,High School
35.0,Male,Unemployed,23,3.6,9.5,Excellent,6.1,42.0,1,Low,No,Low,Chef,PhD
42.0,Female,Student,24,4.6,4.0,Poor,1.6,13.0,7,Moderate,No,Moderate,Chef,Bachelor
43.0,Male,Unemployed,23,8.1,7.6,Good,3.1,12.0,0,Low,No,Low,Farmer,High School
19.0,Other,Unemployed,43,13.5,9.7,Excellent,5.8,58.0,8,Moderate,No,Moderate,Police Officer,Diploma
30.0,Male,Self-Employed,62,2.7,9.6,Excellent,1.7,34.0,1,Low,No,Low,HR Specialist,Diploma
36.0,Female,Self-Employed,28,4.6,7.0,Average,2.8,4.0,1,Low,No,Low,Civil Engineer,Diploma
19.0,Other,Self-Employed,61,10.8,6.4,Average,5.0,37.0,2,Moderate,No,Low,Student,High School
54.0,Female,Unemployed,38,9.9,7.7,Good,5.0,3.0,2,Low,No,Low,Software Engineer,High School
32.0,Male,Unemployed,62,5.7,9.2,Excellent,4.7,43.0,0,Moderate,No,Moderate,Student,High School
30.0,Female,Unemployed,28,4.1,6.4,Average,2.1,55.0,8,Low,No,Low,Data Scientist,Bachelor
49.0,Other,Student,36,5.1,8.4,Good,7.7,38.0,7,Low,No,Low,HR Specialist,Bachelor
63.0,Female,Unemployed,48,5.5,7.5,Good,9.7,47.0,3,Low,No,Low,Sales Executive,Bachelor
19.0,Other,Unemployed,39,6.0,4.3,Poor,6.3,23.0,1,Low,No,Low,Freelancer,High School
34.0,Male,Employed,38,7.2,7.0,Good,6.3,22.0,4,Moderate,No,Moderate,Researcher,Bachelor
54.0,Female,Unemployed,63,8.2,8.3,Good,1.1,17.0,7,High,Yes,High,Business Owner,Diploma
45.0,Other,Unemployed,69,8.5,8.0,Good,9.8,58.0,2,Moderate,No,Moderate,Teacher,Master
44.0,Male,Self-Employed,49,6.5,9.8,Excellent,3.2,38.0,6,Moderate,No,Low,Accountant,High School
20.0,Female,Employed,58,8.1,5.5,Average,8.7,58.0,4,Low,No,Low,Accountant,Diploma
40.0,Male,Employed,30,7.9,6.2,Average,1.5,29.0,8,Moderate,No,Moderate,Chef,Diploma
65.0,Female,Unemployed,57,3.6,5.2,Average,5.7,3.0,6,Moderate,No,Moderate,HR Specialist,Diploma
34.0,Male,Employed,22,5.9,6.5,Average,3.3,13.0,3,Low,No,Low,Business Owner,High School
64.0,Male,Unemployed,24,6.0,8.6,Good,8.1,32.0,2,Low,No,Low,Accountant,Master
48.0,Female,Self-Employed,62,13.1,5.0,Average,2.6,58.0,8,Moderate,No,Moderate,Police Officer,Master
58.0,Other,Unemployed,54,9.1,7.1,Good,9.4,30.0,0,Moderate,No,Moderate,Civil Engineer,Master
46.0,Male,Employed,31,4.7,6.7,Average,5.0,36.0,6,Low,No,Low,Lawyer,High School
50.0,Male,Student,24,9.1,6.5,Average,6.6,1.0,8,Moderate,No,Moderate,Researcher,PhD
26.0,Female,Unemployed,26,4.9,9.4,Excellent,8.0,22.0,6,Low,No,Low,Sales Executive,Diploma
32.0,Male,Student,29,6.7,5.9,Average,6.4,25.0,1,Low,No,Low,Student,Master
31.0,Female,Student,46,6.3,9.3,Excellent,6.5,23.0,1,Low,No,Low,Farmer,Bachelor
65.0,Female,Self-Employed,29,8.0,9.1,Excellent,4.3,7.0,4,Low,No,Low,Marketing Manager,Diploma
24.0,Female,Employed,66,8.1,7.2,Good,5.6,0.0,1,Moderate,No,High,Nurse,High School
56.0,Other,Employed,60,12.5,5.6,Average,0.9,22.0,8,High,Yes,High,Doctor,Master
37.0,Female,Unemployed,68,8.2,9.9,Excellent,5.6,41.0,5,Moderate,No,Low,Nurse,PhD
23.0,Female,Self-Employed,63,10.0,5.4,Average,0.2,48.0,7,High,Yes,High,Student,High School
46.0,Male,Employed,47,2.8,4.5,Poor,1.7,12.0,6,High,Yes,High,Student,Master
38.0,Male,Unemployed,54,13.2,8.2,Good,8.5,57.0,7,Moderate,No,Moderate,Civil Engineer,High School
43.0,Male,Self-Employed,68,3.4,5.0,Average,5.2,12.0,6,Moderate,No,High,Teacher,Diploma
60.0,Other,Self-Employed,32,8.0,8.2,Good,4.2,11.0,1,Moderate,No,Low,Lawyer,Bachelor
41.4,Female,Unemployed,64,7.4,6.0,Average,6.3,7.0,4,High,Yes,High,Teacher,PhD
27.0,Other,Student,43,10.3,9.7,Excellent,1.6,42.0,0,Low,No,Moderate,Police Officer,Bachelor
59.0,Female,Self-Employed,34,6.9,5.0,Average,2.8,51.0,1,Low,No,Low,Nurse,PhD
40.0,Male,Unemployed,48,2.7,9.0,Excellent,1.8,36.0,2,Moderate,No,Low,Doctor,Bachelor
31.0,Male,Self-Employed,22,8.7,4.4,Poor,2.1,18.0,4,Low,No,Low,Pilot,PhD
61.0,Female,Self-Employed,68,13.5,5.4,Average,7.1,2.0,7,High,Yes,High,Designer,Diploma
60.0,Other,Student,55,14.0,9.5,Excellent,5.0,25.0,2,Moderate,No,Moderate,Doctor,High School
55.0,Other,Self-Employed,52,3.7,4.9,Poor,7.0,39.0,5,Low,No,Low,Civil Engineer,Diploma
33.0,Other,Unemployed,53,13.6,5.3,Average,1.8,24.0,4,High,Yes,High,Doctor,High School
58.0,Other,Self-Employed,51,7.4,9.1,Excellent,5.9,0.0,8,Moderate,No,Moderate,Researcher,Bachelor
22.0,Male,Self-Employed,60,11.1,4.3,Poor,4.9,32.0,7,High,Yes,High,Accountant,High School
29.0,Male,Unemployed,59,12.9,9.0,Excellent,6.1,7.0,1,Moderate,No,High,Nurse,Master
56.0,Other,Self-Employed,51,11.1,8.5,Good,3.6,13.0,7,Moderate,No,High,Freelancer,High School
38.0,Male,Student,69,5.4,7.6,Good,5.8,59.0,0,Moderate,No,Moderate,Student,Bachelor
37.0,Other,Unemployed,31,10.6,8.2,Good,5.0,2.0,7,Low,No,Low,Student,High School
42.0,Male,Self-Employed,36,9.6,7.1,Good,5.9,30.0,5,Moderate,No,Moderate,Civil Engineer,Diploma
63.0,Female,Unemployed,28,10.3,5.9,Average,9.9,36.0,4,Low,No,Low,Lawyer,PhD
38.0,Other,Unemployed,65,6.4,4.4,Poor,5.0,31.0,4,Moderate,No,Low,Civil Engineer,High School
47.0,Other,Self-Employed,27,3.4,6.2,Average,3.3,56.0,5,Low,No,Low,Accountant,Bachelor
34.0,Other,Self-Employed,54,7.6,9.0,Excellent,9.7,31.0,2,Low,No,Low,Civil Engineer,PhD
32.0,Female,Self-Employed,44,13.4,8.3,Good,5.8,21.0,4,Moderate,No,Moderate,Lawyer,High School
23.0,Other,Employed,62,4.4,7.7,Good,9.4,13.0,1,Low,No,Low,Doctor,High School
29.0,Male,Employed,53,10.6,5.8,Average,2.9,52.0,7,High,Yes,High,Teacher,PhD
35.0,Male,Employed,51,5.1,5.4,Average,6.8,13.0,0,Moderate,No,Moderate,Teacher,High School
28.0,Male,Unemployed,38,3.1,7.3,Good,4.0,5.0,0,Low,No,Low,Data Scientist,Diploma
54.0,Male,Student,37,6.5,4.6,Poor,2.6,38.0,5,Moderate,No,Moderate,Sales Executive,Bachelor
60.0,Male,Self-Employed,43,5.1,4.6,Poor,4.1,36.0,6,Moderate,No,Low,Police Officer,Bachelor
50.0,Other,Unemployed,59,5.0,9.3,Excellent,2.3,1.0,8,Moderate,No,High,Civil Engineer,Bachelor
48.0,Male,Self-Employed,27,13.6,5.0,Average,1.6,20.0,3,Moderate,No,Low,Business Owner,High School
48.0,Male,Employed,58,8.7,7.6,Good,5.6,40.0,3,Low,No,Moderate,Teacher,Master
35.0,Female,Self-Employed,57,10.0,8.2,Good,5.2,45.0,4,Moderate,No,Moderate,Teacher,PhD
54.0,Other,Unemployed,23,8.8,4.1,Poor,8.3,55.0,2,Low,No,Low,Nurse,PhD
59.0,Other,Self-Employed,56,7.8,5.4,Average,7.4,59.0,2,Moderate,No,Moderate,Accountant,Bachelor
29.0,Male,Student,54,13.2,8.9,Good,2.1,5.0,5,High,Yes,High,Civil Engineer,PhD
60.0,Male,Employed,21,4.6,6.2,Average,9.8,1.0,5,Low,No,Low,Nurse,Master
29.0,Male,Employed,50,11.9,5.2,Average,9.7,21.0,8,Moderate,No,Moderate,Chef,High School
28.0,Male,Self-Employed,68,7.9,9.7,Excellent,7.0,17.0,1,Moderate,No,Moderate,Accountant,Bachelor
42.0,Other,Unemployed,61,5.3,7.0,Good,4.4,0.0,2,Moderate,No,Low,Accountant,Master
59.0,Female,Unemployed,22,12.2,4.7,Poor,1.2,24.0,5,Moderate,No,High,Designer,Bachelor
47.0,Other,Student,53,12.7,5.4,Average,7.2,23.0,3,Moderate,No,High,Farmer,Master
59.0,Male,Unemployed,40,9.0,8.8,Good,4.0,16.0,5,Moderate,No,Low,HR Specialist,Diploma
24.0,Male,Self-Employed,65,9.1,4.4,Poor,6.4,39.0,7,Moderate,No,High,Sales Executive,Diploma
31.0,Male,Unemployed,21,11.7,8.1,Good,0.7,19.0,7,Low,No,Low,Chef,Diploma
30.0,Male,Student,36,9.1,4.6,Poor,4.1,30.0,3,Moderate,No,Moderate,Sales Executive,Master
58.0,Other,Self-Employed,49,4.6,7.6,Good,0.6,32.0,6,Moderate,No,Moderate,Business Owner,Master
26.0,Male,Unemployed,59,12.1,9.2,Excellent,0.4,6.0,1,Moderate,No,High,Nurse,Diploma
23.0,Male,Employed,43,5.1,8.5,Good,1.1,24.0,5,Moderate,No,Low,Student,Diploma
35.0,Other,Employed,23,13.4,7.8,Good,3.3,29.0,0,Low,No,Low,Doctor,PhD
49.0,Male,Student,64,9.7,6.4,Average,2.1,51.0,8,High,Yes,High,Designer,Diploma
32.0,Male,Unemployed,47,2.4,8.5,Good,1.7,24.0,6,Low,No,Low,Chef,Master
63.0,Male,Self-Employed,52,9.6,5.0,Average,7.5,13.0,7,High,Yes,High,Business Owner,High School
35.0,Other,Student,39,5.9,4.6,Poor,2.3,26.0,4,Moderate,No,Moderate,Designer,High School
44.0,Female,Self-Employed,20,12.1,4.9,Poor,9.7,14.0,3,Low,No,Low,Police Officer,Bachelor
42.0,Male,Employed,24,7.6,5.0,Average,1.1,34.0,0,Low,No,Low,Doctor,Bachelor
53.0,Male,Self-Employed,28,3.7,4.1,Poor,4.6,14.0,6,Moderate,No,Moderate,Software Engineer,PhD
62.0,Other,Employed,41,8.0,7.0,Poor,2.3,38.0,1,Low,No,Low,Doctor,Bachelor
30.0,Other,Unemployed,64,12.0,8.3,Good,5.4,38.0,5,Moderate,No,High,Doctor,Master
53.0,Other,Self-Employed,21,5.4,8.2,Good,7.3,60.0,4,Low,No,Low,Accountant,Diploma
56.0,Male,Self-Employed,22,12.7,9.0,Excellent,7.5,40.0,3,Low,No,Low,Sales Executive,PhD
49.0,Male,Student,51,6.4,6.1,Average,2.4,13.0,4,Moderate,No,Low,Sales Executive,High School
56.0,Male,Student,37,11.3,8.7,Good,5.4,49.0,7,Low,No,Low,Farmer,PhD
62.0,Female,Self-Employed,70,9.1,7.9,Good,1.4,30.0,5,High,Yes,High,Data Scientist,High School
54.0,Male,Student,65,13.6,8.5,Good,5.4,19.0,2,Moderate,No,Moderate,Nurse,High School
40.0,Female,Unemployed,48,5.5,7.1,Good,0.8,42.0,4,Low,No,Low,Designer,High School
50.0,Male,Employed,70,10.5,5.3,Average,9.5,15.0,5,Moderate,No,Moderate,Civil Engineer,Diploma
19.0,Other,Student,46,12.2,7.1,Good,3.7,55.0,4,Moderate,No,Moderate,Lawyer,Master
18.0,Male,Unemployed,53,9.1,7.8,Good,8.9,7.0,2,Moderate,No,High,Lawyer,High School
51.0,Male,Unemployed,53,10.2,7.1,Good,4.3,28.0,6,Moderate,No,Moderate,Researcher,Master
31.0,Male,Employed,65,7.9,6.0,Average,9.7,47.0,5,Moderate,No,High,Business Owner,Bachelor
25.0,Female,Self-Employed,46,12.4,8.2,Good,1.7,5.0,1,Moderate,No,Moderate,Police Officer,High School
45.0,Other,Employed,51,9.9,9.1,Excellent,2.2,35.0,5,Moderate,No,Low,HR Specialist,Bachelor
60.0,Female,Unemployed,51,7.8,5.3,Average,7.9,18.0,1,Moderate,No,Moderate,Student,PhD
44.0,Female,Student,35,4.6,7.8,Good,8.9,14.0,7,Low,No,Low,Student,Diploma
20.0,Other,Employed,51,13.1,8.1,Good,2.0,46.0,3,Moderate,No,Moderate,Sales Executive,Bachelor
64.0,Female,Unemployed,58,13.5,5.8,Average,0.9,58.0,0,High,Yes,High,Researcher,Master
56.0,Other,Student,44,2.7,5.1,Average,9.4,21.0,5,Low,No,Low,HR Specialist,Diploma
36.0,Other,Student,68,10.3,9.9,Excellent,5.7,55.0,2,Moderate,No,Moderate,Police Officer,Master
30.0,Female,Student,27,13.2,5.4,Average,3.4,12.0,4,Moderate,No,Low,Data Scientist,Master
43.0,Other,Unemployed,39,5.7,4.5,Poor,8.2,9.0,1,Low,No,Low,Accountant,Diploma
52.0,Male,Unemployed,51,4.8,8.4,Good,6.8,26.0,0,Moderate,No,Low,Data Scientist,High School
45.0,Female,Unemployed,43,7.5,6.7,Average,7.0,28.0,1,Moderate,No,Low,Pilot,Master
65.0,Female,Unemployed,20,4.6,9.7,Excellent,7.0,0.0,0,Low,No,Low,Data Scientist,Diploma
55.0,Male,Unemployed,63,6.5,4.2,Poor,2.1,23.0,8,High,Yes,High,Civil Engineer,PhD
25.0,Male,Self-Employed,24,6.7,4.1,Poor,1.4,26.0,5,Moderate,No,Low,Lawyer,Diploma
45.0,Male,Student,29,11.3,4.4,Poor,2.6,33.0,6,Moderate,No,High,Pilot,Diploma
51.0,Female,Employed,53,3.8,8.8,Good,5.8,33.0,3,Low,No,Low,Pilot,PhD
56.0,Other,Self-Employed,32,5.5,4.2,Poor,9.3,59.0,5,Low,No,Low,Civil Engineer,PhD
52.0,Female,Unemployed,58,8.9,10.0,Excellent,0.5,41.0,3,Moderate,No,Moderate,Sales Executive,PhD
35.0,Other,Employed,54,3.3,4.7,Poor,2.7,38.0,6,High,No,High,Police Officer,Master
48.0,Male,Student,63,4.7,4.8,Poor,7.1,53.0,8,Moderate,No,High,Farmer,Bachelor
47.0,Other,Unemployed,38,4.8,5.4,Average,9.5,20.0,6,Moderate,No,Moderate,Researcher,PhD
33.0,Male,Unemployed,43,12.2,6.8,Average,7.4,54.0,7,Moderate,No,Moderate,Software Engineer,Diploma
18.0,Male,Student,42,12.4,7.2,Good,9.3,14.0,2,Moderate,No,Low,Civil Engineer,PhD
54.0,Other,Unemployed,23,5.8,5.2,Average,2.4,30.0,0,Low,No,Low,Doctor,Master
63.0,Other,Unemployed,56,12.0,8.1,Good,7.9,14.0,2,Moderate,No,High,Nurse,High School
38.0,Female,Student,46,10.8,4.9,Poor,0.5,44.0,6,High,Yes,High,Pilot,Diploma
61.0,Female,Self-Employed,45,2.3,4.2,Poor,5.0,14.0,5,Moderate,No,Low,Farmer,Master
42.0,Female,Self-Employed,43,7.5,9.0,Excellent,6.4,44.0,3,Low,No,Low,Researcher,High School
19.0,Other,Unemployed,68,4.2,7.0,Good,7.7,19.0,1,Low,No,Low,Software Engineer,Diploma
33.0,Male,Employed,70,6.6,9.5,Excellent,0.1,19.0,2,Moderate,No,Moderate,Researcher,Diploma
40.0,Other,Student,23,5.8,9.0,Excellent,9.1,54.0,5,Low,No,Low,Designer,PhD
56.0,Other,Student,46,12.1,4.2,Poor,5.0,26.0,8,High,No,Moderate,Data Scientist,Bachelor
60.0,Male,Employed,31,13.7,9.0,Excellent,1.8,27.0,1,Low,No,Low,HR Specialist,Diploma
30.0,Male,Unemployed,20,5.5,9.7,Excellent,1.6,32.0,3,Low,No,Low,Designer,Bachelor
51.0,Female,Employed,64,5.7,8.5,Good,6.8,31.0,4,Moderate,No,Moderate,Designer,High School
21.0,Female,Self-Employed,25,5.8,6.0,Average,5.1,38.0,2,Low,No,Low,Farmer,Diploma
59.0,Other,Student,35,12.1,6.0,Average,4.9,22.0,6,Moderate,No,Low,Marketing Manager,PhD
35.0,Male,Student,27,9.7,4.0,Poor,5.7,30.0,5,Low,No,Low,Police Officer,PhD
45.0,Other,Self-Employed,24,5.7,7.1,Good,3.8,34.0,2,Low,No,Low,Farmer,High School
63.0,Other,Student,50,2.3,9.0,Excellent,2.3,3.0,3,Low,No,Low,Freelancer,PhD
39.0,Other,Employed,29,11.9,6.0,Average,1.6,48.0,3,Moderate,No,Moderate,Marketing Manager,Master
42.0,Male,Unemployed,20,5.1,5.5,Average,7.0,5.0,6,Moderate,No,Low,Software Engineer,PhD
20.0,Female,Employed,33,9.3,7.1,Good,3.6,29.0,5,Low,No,Low,Pilot,PhD
24.0,Male,Self-Employed,47,6.2,7.2,Good,4.9,27.0,0,Moderate,No,Moderate,Farmer,PhD
39.0,Female,Self-Employed,60,12.6,7.2,Good,2.3,27.0,2,Moderate,No,High,Data Scientist,Master
36.0,Female,Employed,42,7.0,4.6,Poor,4.8,20.0,1,Low,No,Low,Software Engineer,Master
26.0,Male,Self-Employed,30,9.5,9.9,Excellent,4.1,14.0,2,Low,No,Low,Pilot,Bachelor
41.4,Male,Self-Employed,47,4.3,5.2,Average,5.4,11.0,3,Moderate,No,Moderate,Doctor,High School
33.0,Male,Self-Employed,49,8.7,6.0,Average,9.7,60.0,2,Low,No,Low,Pilot,High School
45.0,Female,Employed,56,12.6,9.7,Excellent,10.0,7.0,7,Moderate,No,Moderate,Civil Engineer,PhD
43.0,Male,Employed,22,11.8,9.3,Excellent,1.3,49.0,6,Low,No,Low,Designer,Bachelor
31.0,Other,Employed,48,2.5,7.0,Average,5.0,42.0,2,Low,No,Low,Researcher,Bachelor
30.0,Male,Self-Employed,42,8.6,4.6,Poor,7.1,59.0,0,Low,No,Low,Chef,Bachelor
60.0,Male,Unemployed,58,8.0,8.3,Good,6.9,58.0,2,Low,No,Low,Sales Executive,Bachelor
19.0,Other,Self-Employed,56,10.8,8.0,Good,7.0,52.0,5,Moderate,No,Moderate,Business Owner,Bachelor
28.0,Other,Student,49,9.3,7.6,Good,5.0,0.0,1,Moderate,No,Moderate,Freelancer,Master
52.0,Female,Unemployed,31,7.6,7.3,Good,7.7,12.0,1,Low,No,Low,HR Specialist,Diploma
22.0,Male,Unemployed,54,5.6,7.7,Good,7.5,44.0,3,Low,No,Low,Doctor,PhD
63.0,Female,Employed,65,11.0,6.5,Average,2.0,5.0,8,High,Yes,High,Police Officer,High School
53.0,Male,Employed,20,5.5,7.6,Good,9.8,24.0,2,Low,No,Low,Sales Executive,Bachelor
49.0,Other,Student,63,13.4,9.2,Excellent,3.5,24.0,6,Moderate,No,High,Designer,Bachelor
48.0,Other,Unemployed,31,6.9,9.1,Excellent,3.9,32.0,1,Low,No,Low,Police Officer,Bachelor
22.0,Female,Student,67,13.4,4.7,Poor,4.6,27.0,3,High,Yes,High,HR Specialist,PhD
54.0,Female,Employed,41,8.3,4.9,Poor,9.5,28.0,5,Low,No,Low,Doctor,Bachelor
59.0,Male,Self-Employed,57,2.4,8.1,Good,6.3,60.0,3,Low,No,Low,Farmer,Bachelor
46.0,Other,Employed,55,3.6,4.0,Poor,7.1,11.0,6,Moderate,No,Moderate,Civil Engineer,Master
37.0,Other,Student,29,9.1,8.2,Good,0.5,53.0,0,Low,No,Low,Pilot,Bachelor
35.0,Other,Self-Employed,57,12.6,6.6,Average,1.7,35.0,8,High,Yes,High,Teacher,Bachelor
50.0,Male,Self-Employed,24,6.9,8.0,Good,0.4,30.0,5,Low,No,Low,Police Officer,High School
44.0,Female,Unemployed,26,10.2,8.8,Good,8.2,10.0,1,Low,No,Low,Marketing Manager,Master
26.0,Male,Self-Employed,52,2.2,9.8,Excellent,1.6,37.0,8,Moderate,No,Low,Researcher,Diploma
47.0,Other,Self-Employed,70,8.5,8.6,Good,4.6,5.0,8,High,Yes,High,Pilot,PhD
31.0,Male,Employed,25,10.9,9.3,Excellent,8.3,19.0,4,Low,No,Low,Doctor,Bachelor
35.0,Female,Student,25,4.6,4.5,Poor,2.0,2.0,6,Moderate,No,Moderate,Teacher,Bachelor
26.0,Other,Student,58,5.4,7.4,Good,1.4,49.0,5,Moderate,No,High,Farmer,High School
18.0,Other,Student,32,2.3,8.2,Good,0.7,39.0,6,Low,No,Low,Chef,Bachelor
41.0,Other,Unemployed,44,5.3,9.8,Excellent,8.6,44.0,6,Low,No,Low,Doctor,Diploma
58.0,Other,Self-Employed,57,13.4,6.9,Average,8.1,51.0,5,Moderate,No,Moderate,Chef,Diploma
60.0,Other,Student,29,12.5,5.7,Average,1.6,38.0,3,Low,No,Low,Farmer,Diploma
37.0,Other,Student,47,3.8,9.3,Excellent,3.3,0.0,0,Low,No,Low,Chef,High School
51.0,Other,Unemployed,64,10.1,4.5,Poor,1.9,28.0,7,High,Yes,High,Civil Engineer,Diploma
28.0,Female,Self-Employed,50,2.5,8.8,Good,3.4,21.0,8,Moderate,No,Moderate,Police Officer,High School
23.0,Female,Employed,70,4.5,8.9,Good,5.4,19.0,8,Moderate,No,High,Software Engineer,High School
32.0,Male,Employed,39,5.4,8.7,Good,4.0,32.0,2,Low,No,Low,Chef,High School
64.0,Other,Unemployed,21,3.4,4.4,Poor,6.0,23.0,5,Low,No,Low,Farmer,Bachelor
19.0,Male,Self-Employed,69,2.5,6.6,Average,5.0,15.0,2,Moderate,No,Low,Marketing Manager,Bachelor
65.0,Male,Student,62,12.7,5.1,Average,8.3,9.0,3,High,Yes,High,Police Officer,Master
36.0,Other,Student,60,11.5,6.2,Average,9.4,27.0,7,High,Yes,High,Lawyer,Master
23.0,Female,Unemployed,55,6.7,4.6,Poor,4.7,33.0,4,Moderate,No,High,Lawyer,Diploma
54.0,Female,Unemployed,38,13.4,8.3,Good,7.3,11.0,5,Moderate,No,Low,Student,PhD
26.0,Male,Employed,50,11.0,7.0,Good,6.2,34.0,6,Moderate,No,High,Doctor,Diploma
28.0,Male,Employed,43,9.9,9.7,Excellent,3.3,44.0,7,Low,No,Low,HR Specialist,High School
27.0,Male,Student,54,5.8,8.6,Good,2.5,43.0,7,Moderate,No,Low,Marketing Manager,PhD
55.0,Other,Self-Employed,68,8.9,7.1,Good,5.0,8.0,8,High,Yes,High,Software Engineer,PhD
64.0,Male,Unemployed,53,11.8,5.8,Average,2.0,3.0,4,High,Yes,High,Teacher,Master
55.0,Male,Student,22,2.9,4.9,Poor,1.8,48.0,8,Low,No,Low,Chef,High School
46.0,Female,Student,66,4.9,5.1,Average,4.3,30.0,4,High,Yes,High,Researcher,High School
40.0,Female,Unemployed,55,2.9,8.5,Good,3.4,11.0,5,Moderate,No,Low,Business Owner,Master
25.0,Male,Student,23,9.4,6.7,Average,4.6,53.0,2,Low,No,Low,Data Scientist,Master
49.0,Male,Self-Employed,40,7.2,8.8,Good,6.0,51.0,6,Low,No,Low,Teacher,Diploma
48.0,Female,Student,31,4.1,6.3,Average,1.1,0.0,2,Moderate,No,Moderate,Accountant,Master
