Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk
53.0,Female,Student,49,7.4,4.2,Poor,3.1,51.0,0,Low,No,Low
43.0,Male,Self-Employed,26,3.1,9.5,Excellent,0.2,31.0,5,Low,No,Low
33.0,Other,Employed,32,13.9,5.8,Average,3.9,35.0,6,Moderate,No,Moderate
25.0,Other,Self-Employed,26,12.2,10.0,Excellent,7.1,15.0,7,Low,No,Low
59.0,Other,Unemployed,69,12.1,9.0,Excellent,4.0,6.0,3,High,Yes,High
35.0,Other,Employed,34,9.8,8.1,Good,2.5,5.0,7,Moderate,No,Moderate
58.0,Other,Student,63,12.9,9.6,Excellent,1.1,19.0,0,Moderate,No,High
64.0,Other,Unemployed,25,9.0,4.6,Poor,2.3,41.0,2,Moderate,No,Moderate
48.0,Female,Student,59,5.3,6.0,Average,,48.0,2,Moderate,No,Moderate
21.0,Male,Student,34,4.5,7.9,Good,9.6,47.0,0,Low,No,Low
27.0,Female,Unemployed,47,4.5,6.5,Average,3.8,,5,Low,No,Low
34.0,Male,Employed,48,4.5,7.2,Good,6.1,29.0,7,Low,No,Low
60.0,Male,Employed,65,3.8,4.4,Poor,2.2,42.0,7,High,Yes,High
42.0,Other,Student,45,14.0,9.0,Excellent,0.0,3.0,6,High,Yes,High
18.0,Female,Unemployed,43,4.7,7.2,Good,8.4,24.0,1,Low,No,Low
47.0,Male,Student,70,7.6,6.5,Average,1.6,25.0,7,High,Yes,High
33.0,Male,Self-Employed,47,7.6,4.1,Poor,3.1,37.0,8,Moderate,No,Moderate
35.0,Male,Unemployed,25,10.2,8.3,Good,9.3,26.0,8,Moderate,No,Moderate
41.0,Other,Employed,36,7.3,6.5,Average,9.5,24.0,3,Low,No,Low
57.0,Female,Student,29,5.4,9.1,Excellent,0.6,28.0,4,Low,No,Low
62.0,Other,Self-Employed,46,13.6,8.7,Good,7.6,36.0,6,Moderate,No,Low
37.0,Other,Employed,47,3.8,8.7,Good,1.5,53.0,7,Low,No,Low
35.0,Other,Self-Employed,29,2.5,9.2,Excellent,1.0,50.0,4,Low,No,Low
49.0,Female,Employed,41,10.6,6.0,Average,9.6,2.0,4,Moderate,No,Moderate
47.0,Other,Self-Employed,28,13.3,7.3,Good,3.7,40.0,1,Low,No,Low
43.0,Male,Employed,68,2.1,6.3,Average,8.4,1.0,1,Low,No,Low
63.0,Female,Self-Employed,63,4.0,5.6,Average,5.9,,5,Moderate,No,Moderate
63.0,Male,Unemployed,64,11.2,4.7,Poor,9.3,47.0,0,Moderate,No,Moderate
48.0,Other,Employed,47,8.7,8.3,Good,0.7,57.0,0,Moderate,No,Moderate
23.0,Male,Employed,68,5.9,4.0,Poor,6.6,5.0,6,High,Yes,Moderate
64.0,Other,Self-Employed,58,12.4,8.9,Good,1.7,31.0,6,Moderate,No,Moderate
37.0,Other,Unemployed,40,4.0,10.0,Excellent,6.4,46.0,3,Low,No,Low
37.0,Other,Student,61,3.9,5.5,Average,9.6,58.0,6,Moderate,No,Low
22.0,Female,Student,45,10.6,4.3,Poor,4.0,54.0,2,Moderate,No,Moderate
44.0,Other,Student,66,12.3,4.3,Poor,8.9,40.0,8,High,Yes,High
41.0,Male,Self-Employed,43,8.8,8.9,Good,9.5,11.0,7,Moderate,No,Moderate
46.0,Female,Self-Employed,44,3.2,9.2,Excellent,6.6,12.0,7,Moderate,No,Low
49.0,Male,Student,48,10.2,4.9,Poor,7.5,53.0,8,Moderate,No,Low
21.0,Female,Employed,57,9.1,,Poor,7.9,29.0,0,Low,No,Moderate
41.0,Female,Self-Employed,61,8.5,5.5,Average,3.2,28.0,3,High,Yes,High
45.0,Female,Student,56,6.4,9.8,Excellent,1.2,55.0,0,Low,No,Low
39.0,Male,Self-Employed,40,7.3,6.0,Average,6.8,35.0,0,Low,No,Low
33.0,Other,Self-Employed,41,5.7,7.0,Good,6.1,53.0,1,Low,No,Low
21.0,Female,Employed,54,7.6,9.2,Excellent,6.4,36.0,6,Moderate,No,Low
57.0,Male,Self-Employed,51,5.4,4.6,Poor,9.1,60.0,1,Low,No,Low
51.0,Other,Employed,22,3.4,8.5,Good,7.6,0.0,2,Low,No,Low
49.0,Female,Student,28,6.4,5.1,Average,9.2,29.0,6,Low,No,Low
62.0,Female,Self-Employed,40,9.6,8.0,Good,3.8,22.0,2,Low,No,Moderate
59.0,Male,Student,33,10.9,6.4,Average,2.8,11.0,1,Low,No,Low
21.0,Other,Unemployed,21,12.5,9.6,Excellent,7.2,50.0,5,Low,No,Low
24.0,Male,Unemployed,66,6.9,9.7,Excellent,2.0,21.0,5,Moderate,No,High
19.0,Female,Self-Employed,49,8.7,7.5,Good,2.4,44.0,6,Moderate,No,Moderate
42.0,Other,Self-Employed,41,9.1,6.2,Average,6.8,54.0,7,Low,No,Low
23.0,Other,Unemployed,69,4.4,8.5,Good,1.8,25.0,8,Moderate,No,Moderate
44.0,Other,Unemployed,30,5.5,4.8,Poor,5.3,21.0,8,Moderate,No,Low
19.0,Male,Employed,69,2.7,6.0,Average,,32.0,4,Moderate,No,Moderate
31.0,Female,Employed,61,10.7,8.4,Good,7.0,27.0,4,Moderate,No,Moderate
60.0,Male,Unemployed,67,13.1,7.5,Good,4.2,40.0,6,High,Yes,Moderate
20.0,Female,Unemployed,39,7.8,5.3,Average,2.5,56.0,8,Moderate,No,High
56.0,Other,Student,20,10.4,7.7,Good,2.4,16.0,0,Low,No,Low
62.0,Other,Employed,69,8.4,7.8,Good,5.9,9.0,3,Moderate,No,Moderate
65.0,Other,Student,37,8.6,8.0,Good,0.7,22.0,2,Low,No,Low
43.0,Other,Student,48,8.2,9.9,Excellent,6.5,8.0,3,Low,No,Low
32.0,Female,Employed,28,7.3,9.3,Excellent,8.4,57.0,5,Low,No,Low
36.0,Other,Unemployed,29,12.8,8.3,Good,1.9,22.0,8,Moderate,No,Low
20.0,Male,Unemployed,28,8.9,8.0,Good,6.1,18.0,5,Low,No,Moderate
32.0,Female,Self-Employed,45,10.0,8.4,Good,6.8,36.0,6,Low,No,Low
29.0,Female,Unemployed,32,13.9,7.6,Good,3.6,12.0,0,Moderate,No,Moderate
53.0,Female,Self-Employed,47,7.0,8.3,Good,6.1,21.0,7,Low,No,Moderate
20.0,Other,Employed,48,5.4,6.4,Average,0.6,8.0,4,High,Yes,High
51.0,Other,Employed,69,5.9,6.9,Average,4.9,15.0,2,Moderate,No,High
54.0,Female,Unemployed,70,3.8,9.1,Excellent,9.8,2.0,2,Moderate,No,Moderate
21.0,Female,Employed,67,7.0,7.6,Good,3.9,16.0,4,Moderate,No,High
61.0,Male,Self-Employed,27,13.1,7.9,Good,2.5,57.0,4,Low,No,Low
62.0,Other,Self-Employed,55,5.4,4.5,Poor,2.3,7.0,8,High,Yes,High
35.0,Female,Self-Employed,64,6.9,8.4,Good,9.0,8.0,5,Moderate,No,Moderate
46.0,Female,Student,27,7.0,7.3,Good,0.4,21.0,4,Moderate,No,Moderate
60.0,Female,Self-Employed,53,6.6,6.5,Average,4.3,37.0,8,Moderate,No,Moderate
62.0,Male,Unemployed,27,11.4,7.3,Good,5.8,53.0,0,Low,No,Low
58.0,Female,Employed,27,8.7,6.3,Average,9.0,0.0,2,Low,No,Low
32.0,Male,Self-Employed,53,9.1,6.2,Average,7.4,0.0,6,High,Yes,High
57.0,Female,Employed,63,10.7,5.9,Average,,38.0,2,Moderate,No,Moderate
36.0,Male,Self-Employed,22,11.4,7.5,Good,2.3,53.0,2,Low,No,Low
51.0,Female,Self-Employed,70,11.4,6.5,Average,6.1,29.0,1,Moderate,No,High
27.0,Other,Unemployed,41,13.9,5.1,Average,5.7,18.0,3,Moderate,No,Moderate
45.0,Female,Unemployed,45,3.4,5.9,Average,1.4,31.0,3,Low,No,Low
44.0,Female,Self-Employed,33,13.5,4.3,Poor,5.4,59.0,7,Moderate,No,High
,Male,Employed,30,7.3,9.6,Excellent,3.3,55.0,2,Low,No,Low
18.0,Female,Employed,23,2.2,6.0,Average,4.1,28.0,1,Low,No,Low
47.0,Other,Employed,51,8.7,4.8,Poor,4.8,48.0,6,Moderate,No,Moderate
54.0,Other,Employed,53,4.5,5.7,Average,0.1,43.0,2,Moderate,No,Moderate
65.0,Other,Student,65,7.2,8.1,Good,6.4,18.0,6,Moderate,No,Moderate
21.0,Male,Student,24,10.8,4.0,Poor,7.2,7.0,8,High,Yes,High
24.0,Other,Employed,43,5.9,4.8,Poor,9.4,18.0,4,Moderate,No,Low
43.0,Female,Unemployed,27,9.1,6.0,Average,9.7,56.0,4,Low,No,Low
42.0,Female,Employed,34,6.3,9.4,Excellent,7.7,56.0,1,Low,No,Low
18.0,Male,Student,51,4.3,6.3,Average,1.3,9.0,2,Moderate,No,High
20.0,Other,Self-Employed,57,14.0,6.3,Average,10.0,9.0,4,High,Yes,High
21.0,Male,Unemployed,28,9.5,,Average,0.8,10.0,8,Moderate,No,Moderate
48.0,Female,Employed,26,4.0,4.9,Poor,4.6,44.0,2,Low,No,Low
56.0,Other,Student,32,9.2,5.1,Average,5.9,17.0,5,Moderate,No,Low
59.0,Female,Student,31,7.6,4.2,Poor,3.5,59.0,8,Moderate,No,Moderate
24.0,Other,Unemployed,48,13.3,9.9,Excellent,2.3,3.0,4,Moderate,No,Low
45.0,Male,Self-Employed,51,9.8,8.4,Good,6.9,42.0,3,Moderate,No,Moderate
47.0,Other,Self-Employed,23,3.9,7.8,Good,3.1,45.0,6,Low,No,Low
39.0,Male,Employed,68,6.7,5.3,Average,0.9,57.0,3,High,Yes,High
34.0,Other,Self-Employed,56,7.9,6.4,Average,2.0,33.0,3,High,Yes,High
41.0,Male,Employed,20,7.9,7.6,Good,8.7,42.0,5,Low,No,Low
50.0,Other,Employed,33,5.0,5.5,Average,3.9,3.0,8,Low,No,Moderate
55.0,Male,Student,50,2.9,5.0,Average,2.0,,7,Moderate,No,Moderate
30.0,Male,Self-Employed,28,2.5,5.9,Average,6.1,3.0,3,Low,No,Low
63.0,Male,Unemployed,24,3.0,5.3,Average,1.7,2.0,4,Low,No,Low
32.0,Male,Student,47,5.0,5.7,Average,6.2,2.0,6,Moderate,No,Low
38.0,Other,Employed,24,11.1,,Average,3.2,39.0,6,Moderate,No,Moderate
65.0,Male,Student,64,7.3,6.9,Average,8.0,39.0,4,Moderate,No,Moderate
42.0,Female,Student,62,8.9,8.8,Good,1.6,59.0,5,Moderate,No,Moderate
60.0,Other,Employed,44,9.2,4.3,Poor,5.9,36.0,4,Moderate,No,Moderate
55.0,Male,Student,62,2.8,6.1,Average,1.3,20.0,4,High,Yes,High
56.0,Female,Employed,42,5.0,4.8,Poor,2.6,31.0,1,Low,No,Low
41.0,Other,Student,58,5.8,4.4,Poor,9.6,19.0,2,Low,No,Moderate
62.0,Other,Student,54,8.1,5.3,Average,9.7,11.0,5,Moderate,No,High
58.0,Other,Unemployed,63,13.3,5.2,Average,7.2,13.0,3,High,Yes,High
52.0,Male,Student,50,6.6,6.5,Average,0.7,6.0,6,High,Yes,High
39.0,Other,Unemployed,25,12.7,9.9,Excellent,4.4,3.0,2,Low,No,Low
47.0,Male,Self-Employed,66,2.7,7.4,Good,1.6,17.0,4,Moderate,No,Moderate
39.0,Male,Student,55,13.7,6.1,Average,8.5,54.0,3,Moderate,No,Moderate
49.0,Female,Employed,27,13.8,9.0,Excellent,8.2,12.0,3,Low,No,Low
65.0,Other,Student,51,13.0,9.0,Excellent,8.8,24.0,1,Moderate,No,Low
53.0,Male,Student,63,11.7,7.1,Good,4.0,42.0,0,Moderate,No,Low
42.0,Female,Unemployed,62,6.4,9.7,Excellent,9.5,7.0,3,Moderate,No,Moderate
56.0,Other,Employed,24,10.4,6.7,Average,5.4,8.0,0,Low,No,Low
30.0,Female,Unemployed,34,3.7,9.7,Excellent,6.5,57.0,1,Low,No,Low
21.0,Male,Self-Employed,67,8.9,8.2,Good,9.0,45.0,7,Moderate,No,High
50.0,Other,Employed,25,9.8,6.8,Average,7.3,12.0,8,Moderate,No,Moderate
43.0,Male,Student,31,6.5,9.5,Excellent,5.0,56.0,1,Low,No,Low
61.0,Male,Student,33,13.9,7.1,Good,2.0,39.0,2,Moderate,No,Moderate
39.0,Male,Employed,54,11.3,9.5,Excellent,2.6,22.0,2,Moderate,No,Low
64.0,Male,Self-Employed,66,9.4,9.1,Excellent,5.0,16.0,5,Moderate,No,Low
64.0,Other,Unemployed,64,12.7,8.7,Good,4.8,10.0,4,High,Yes,High
55.0,Other,Self-Employed,27,6.4,8.5,Good,5.8,45.0,8,Low,No,Low
24.0,Female,Unemployed,42,5.0,9.6,Excellent,6.9,52.0,3,Low,No,Low
58.0,Other,Self-Employed,20,,6.7,Average,9.5,29.0,3,Low,No,Low
42.0,Female,Self-Employed,49,4.9,5.3,Average,9.0,26.0,7,Moderate,No,Moderate
28.0,Female,Self-Employed,59,14.0,5.4,Average,,42.0,1,High,No,High
25.0,Male,Self-Employed,30,10.6,5.1,Average,7.5,4.0,1,Moderate,No,Moderate
42.0,Other,Unemployed,56,3.2,9.1,Excellent,3.1,2.0,5,Moderate,No,High
41.0,Other,Self-Employed,48,13.1,4.6,Poor,0.4,14.0,4,High,Yes,High
33.0,Other,Unemployed,24,11.3,9.0,Excellent,1.7,9.0,5,Low,No,Low
60.0,Other,Self-Employed,66,6.2,8.7,Good,5.1,16.0,0,Moderate,No,Low
39.0,Female,Student,62,12.1,9.0,Excellent,,40.0,7,Moderate,No,Moderate
47.0,Other,Employed,33,9.4,8.9,Good,6.3,12.0,8,Moderate,No,Moderate
47.0,Other,Unemployed,50,11.0,8.7,Good,0.5,36.0,5,Moderate,No,Moderate
56.0,Female,Student,43,11.9,8.2,Good,7.2,1.0,3,Low,No,Low
41.0,Female,Employed,28,5.8,8.3,Good,9.9,39.0,6,Low,No,Low
24.0,Female,Self-Employed,22,5.1,5.6,Average,1.7,12.0,3,Low,No,Low
34.0,Other,Student,59,2.2,8.8,Good,2.6,28.0,5,Moderate,No,Moderate
18.0,Female,Self-Employed,38,11.0,6.2,Average,5.6,46.0,7,Moderate,No,Moderate
36.0,Female,Unemployed,69,7.3,5.5,Average,5.3,17.0,3,High,Yes,High
36.0,Male,Employed,21,2.4,5.7,Average,1.8,59.0,6,Low,No,Low
49.0,Male,Self-Employed,52,9.3,4.6,Poor,4.7,58.0,0,Moderate,No,Moderate
49.0,Male,Self-Employed,52,3.7,9.3,Excellent,1.3,57.0,7,Moderate,No,Low
49.0,Female,Employed,59,9.5,9.9,Excellent,7.4,30.0,1,Low,No,Moderate
55.0,Other,Employed,20,11.8,6.4,Average,,57.0,4,Low,No,Low
45.0,Other,Unemployed,34,6.5,9.0,Excellent,9.7,60.0,5,Low,No,Low
50.0,Female,Self-Employed,54,3.5,8.9,Good,9.1,52.0,7,Low,No,Low
52.0,Female,Employed,59,12.5,8.0,Good,7.1,16.0,3,Moderate,No,High
53.0,Other,Student,43,11.0,6.7,Average,1.1,24.0,4,High,Yes,High
52.0,Female,Unemployed,67,3.6,6.4,Average,0.7,3.0,3,High,Yes,High
52.0,Female,Unemployed,49,13.7,7.1,Good,5.9,30.0,8,Moderate,No,Moderate
64.0,Other,Employed,36,6.8,6.7,Average,1.4,53.0,0,Low,No,Low
51.0,Female,Self-Employed,48,4.3,7.9,Good,9.1,42.0,8,Moderate,No,Low
24.0,Male,Employed,33,9.4,4.6,Poor,6.4,46.0,6,Moderate,No,Moderate
23.0,Male,Self-Employed,59,10.6,5.3,Average,8.3,43.0,1,Moderate,No,High
34.0,Other,Self-Employed,32,13.9,4.1,Poor,3.6,53.0,4,Moderate,No,Low
52.0,Male,Unemployed,48,10.8,5.5,Average,7.0,7.0,1,High,No,Moderate
19.0,Female,Employed,25,5.6,6.9,Average,6.3,4.0,7,Low,No,Moderate
62.0,Other,Student,48,3.8,6.8,Average,3.5,38.0,0,Low,No,Low
44.0,Female,Employed,50,13.7,7.1,Good,2.2,20.0,0,Moderate,No,Moderate
54.0,Male,Unemployed,42,3.4,5.0,Average,,56.0,6,Moderate,No,Low
37.0,Male,Employed,24,7.8,8.4,Good,1.1,25.0,2,Low,No,Low
21.0,Male,Employed,49,5.2,9.7,Excellent,7.1,16.0,5,Low,No,Low
51.0,Female,Unemployed,64,14.0,4.2,Poor,8.6,36.0,5,High,Yes,High
41.0,Male,Unemployed,28,12.9,5.3,Average,1.4,43.0,2,Low,No,Low
49.0,Female,Self-Employed,31,7.4,4.9,Poor,7.5,59.0,1,Low,No,Low
47.0,Other,Student,35,7.7,,Average,8.1,50.0,5,Low,No,Low
35.0,Male,Student,36,2.2,4.1,Poor,7.0,51.0,4,Low,No,Low
39.0,Other,Employed,53,10.3,8.6,Good,1.0,5.0,3,Moderate,No,Moderate
47.0,Other,Self-Employed,34,7.9,8.0,Good,5.5,34.0,5,Low,No,Low
20.0,Other,Unemployed,64,11.1,7.7,Good,2.3,2.0,2,High,Yes,High
45.0,Female,Self-Employed,63,2.1,7.7,Good,0.9,55.0,5,Moderate,No,Low
52.0,Male,Unemployed,21,12.3,6.2,Average,6.6,48.0,0,Low,No,Low
62.0,Female,Self-Employed,61,6.2,8.0,Good,2.6,35.0,3,Moderate,No,Moderate
42.0,Other,Student,45,11.8,6.0,Average,7.1,49.0,6,Moderate,No,Moderate
50.0,Female,Self-Employed,59,11.1,6.2,Average,3.4,52.0,3,Moderate,No,Moderate
24.0,Other,Employed,39,6.9,9.5,Excellent,6.2,9.0,1,Low,No,Low
41.0,Male,Unemployed,22,8.5,6.8,Average,5.2,55.0,6,Low,No,Low
33.0,Female,Self-Employed,62,12.7,8.8,Good,9.4,43.0,2,Moderate,No,Moderate
56.0,Male,Self-Employed,56,8.8,9.6,Excellent,3.5,27.0,0,Low,No,Low
53.0,Other,Unemployed,51,12.3,8.5,Good,3.9,24.0,7,High,Yes,High
50.0,Male,Unemployed,59,3.7,9.4,Excellent,4.0,39.0,2,Moderate,No,Low
38.0,Other,Unemployed,67,5.3,4.2,Poor,8.7,15.0,4,High,Yes,High
57.0,Male,Employed,24,5.0,,Good,3.3,59.0,0,Low,No,Low
45.0,Male,Student,69,7.1,5.4,Average,2.6,57.0,6,High,Yes,High
47.0,Male,Unemployed,29,12.7,6.4,Average,8.9,16.0,6,Moderate,No,Moderate
21.0,Other,Employed,41,9.2,8.0,Good,3.6,45.0,3,Low,No,Moderate
28.0,Male,Employed,59,7.1,7.0,Good,9.4,13.0,4,Moderate,No,Low
64.0,Male,Employed,43,3.0,7.3,Good,7.9,2.0,5,Moderate,No,Moderate
29.0,Male,Self-Employed,43,6.7,5.5,Average,7.4,5.0,1,Low,No,Low
56.0,Other,Student,63,10.3,5.8,Average,4.3,43.0,4,Moderate,No,Moderate
61.0,Female,Student,52,8.9,8.0,Good,6.5,55.0,3,Low,No,Moderate
25.0,Male,Student,65,7.4,7.2,Good,2.1,43.0,4,Moderate,No,High
41.0,Male,Self-Employed,63,6.1,5.0,Average,0.1,9.0,2,High,Yes,High
51.0,Female,Unemployed,46,7.9,7.8,Good,1.4,6.0,2,Moderate,No,Low
54.0,Female,Unemployed,22,6.0,5.2,Average,7.4,3.0,4,Low,No,Low
23.0,Other,Unemployed,64,11.3,8.0,Good,7.0,54.0,4,Moderate,No,Low
36.0,Female,Employed,22,9.2,7.7,Good,0.6,2.0,0,Low,No,Low
45.0,Female,Self-Employed,53,9.3,9.0,Excellent,3.6,4.0,3,Moderate,No,Moderate
20.0,Male,Student,56,7.7,9.3,Excellent,0.3,36.0,2,Moderate,No,Low
64.0,Male,Unemployed,20,5.1,7.8,Good,9.6,15.0,3,Low,No,Low
34.0,Other,Employed,66,8.7,5.4,Average,5.0,9.0,2,High,Yes,High
60.0,Female,Unemployed,31,7.2,4.7,Poor,4.2,33.0,5,Low,No,Low
50.0,Other,Student,61,10.4,8.9,Good,2.9,27.0,0,High,Yes,High
51.0,Male,Self-Employed,55,12.6,8.1,Good,9.9,46.0,8,Moderate,No,Moderate
19.0,Other,Self-Employed,22,5.3,5.8,Average,2.3,32.0,8,Low,No,Low
42.0,Female,Self-Employed,55,4.3,4.8,Poor,5.0,41.0,6,Moderate,No,Moderate
20.0,Other,Student,59,6.5,6.9,Average,4.5,21.0,1,Moderate,No,Moderate
30.0,Other,Employed,69,10.1,4.7,Poor,3.7,21.0,3,High,Yes,High
46.0,Male,Unemployed,59,2.9,9.1,Excellent,9.0,24.0,3,Low,No,Low
31.0,Male,Self-Employed,46,13.5,5.2,Average,6.6,13.0,5,High,Yes,High
61.0,Male,Self-Employed,35,5.0,5.0,Average,1.1,33.0,0,Low,No,Moderate
28.0,Other,Employed,47,10.6,6.6,Average,8.0,59.0,5,Moderate,No,Moderate
49.0,Female,Employed,47,8.2,8.2,Good,3.6,30.0,6,Moderate,No,Low
35.0,Other,Unemployed,20,4.2,8.8,Good,3.0,12.0,5,Low,No,Low
34.0,Other,Employed,42,3.6,5.3,Average,0.3,23.0,2,Low,No,Low
38.0,Other,Unemployed,41,12.4,6.5,Average,2.6,40.0,1,Moderate,No,Moderate
31.0,Female,Employed,41,13.1,4.9,Poor,6.6,46.0,8,Moderate,No,Moderate
59.0,Other,Student,62,13.9,9.7,Excellent,3.9,16.0,6,Moderate,No,Moderate
48.0,Male,Unemployed,34,12.0,9.5,Excellent,7.7,24.0,3,Low,No,Low
49.0,Other,Employed,35,11.0,5.9,Average,2.4,6.0,2,Moderate,No,Moderate
58.0,Other,Employed,60,10.1,9.4,Excellent,7.0,30.0,3,Moderate,No,Moderate
21.0,Female,Employed,49,11.7,7.8,Good,9.7,58.0,7,Moderate,No,Moderate
56.0,Other,Unemployed,62,12.2,9.3,Excellent,4.0,60.0,3,Moderate,No,Moderate
43.0,Female,Unemployed,35,5.5,6.6,Average,8.4,9.0,3,Moderate,No,Moderate
52.0,Other,Employed,61,12.8,9.0,Excellent,2.6,45.0,6,High,Yes,High
27.0,Other,Student,42,8.8,9.5,Excellent,8.2,57.0,0,Low,No,Low
44.0,Other,Student,46,3.2,8.0,Good,1.9,48.0,0,Low,No,Low
18.0,Female,Unemployed,50,6.2,4.9,Poor,0.4,42.0,0,Moderate,No,Moderate
31.0,Other,Unemployed,29,12.4,8.8,Good,9.5,60.0,5,Low,No,Low
52.0,Female,Student,61,13.1,8.7,Good,9.8,35.0,8,Moderate,No,Moderate
18.0,Male,Self-Employed,41,6.8,7.1,Good,7.5,14.0,3,Low,No,Moderate
58.0,Female,Self-Employed,51,4.8,5.7,Average,0.6,59.0,0,Low,No,Low
65.0,Male,Self-Employed,52,10.9,6.4,Average,,30.0,0,Moderate,No,Moderate
63.0,Female,Student,65,6.2,8.0,Good,3.2,45.0,8,High,Yes,High
26.0,Other,Employed,46,11.9,8.6,Good,3.6,44.0,4,Moderate,No,Low
63.0,Male,Student,24,7.8,9.5,Excellent,2.3,29.0,1,Low,No,Low
45.0,Other,Employed,22,8.8,7.6,Good,5.2,1.0,3,Low,No,Low
42.0,Male,Unemployed,51,9.2,9.9,Excellent,7.9,27.0,4,Moderate,No,Moderate
39.0,Female,Unemployed,69,7.0,5.9,Average,2.1,58.0,6,Moderate,No,Moderate
63.0,Male,Self-Employed,47,7.5,5.4,Average,4.9,52.0,2,Low,No,Low
18.0,Male,Unemployed,24,5.7,5.0,Average,5.8,34.0,0,Low,No,Low
28.0,Other,Student,41,6.1,4.1,Poor,8.5,16.0,2,Low,No,Low
26.0,Male,Student,58,13.0,5.3,Average,7.8,,5,Moderate,No,Moderate
61.0,Male,Self-Employed,48,12.7,4.9,Poor,6.4,30.0,8,High,Yes,High
22.0,Male,Student,43,2.1,9.1,Excellent,8.6,60.0,3,Low,No,Low
65.0,Male,Student,51,12.4,4.5,Poor,3.6,55.0,0,Moderate,No,High
33.0,Other,Employed,28,13.1,7.2,Good,5.3,11.0,6,Low,No,Moderate
56.0,Female,Self-Employed,51,9.1,4.6,Poor,7.4,0.0,3,Moderate,No,High
51.0,Other,Self-Employed,67,9.5,7.2,Good,7.1,28.0,4,High,Yes,High
20.0,Female,Employed,37,6.8,5.8,Average,7.5,1.0,3,Low,No,Low
55.0,Male,Student,62,,5.2,Average,8.4,58.0,1,Moderate,No,Moderate
35.0,Female,Unemployed,50,13.6,9.8,Excellent,9.2,52.0,5,Moderate,No,Low
48.0,Male,Unemployed,60,8.8,8.6,Good,7.4,23.0,8,Moderate,No,High
20.0,Male,Student,61,2.3,6.7,Average,9.7,20.0,5,Moderate,No,Low
64.0,Male,Unemployed,32,13.6,5.7,Average,6.6,59.0,8,Moderate,No,Moderate
52.0,Male,Employed,61,6.3,6.1,Average,2.3,44.0,0,Low,No,Low
35.0,Female,Unemployed,38,8.6,6.5,Average,9.9,44.0,4,Low,No,Low
37.0,Male,Student,58,11.6,9.4,Excellent,4.8,22.0,5,High,Yes,High
56.0,Other,Employed,61,10.4,5.4,Average,8.1,,6,High,Yes,High
31.0,Male,Student,66,12.7,5.8,Average,1.1,28.0,3,High,Yes,High
34.0,Other,Unemployed,32,,6.5,Average,8.8,7.0,3,Low,No,Low
57.0,Female,Student,58,14.0,9.1,Excellent,4.0,5.0,6,High,Yes,High
56.0,Other,Student,57,13.7,4.1,Poor,3.4,36.0,2,High,Yes,High
39.0,Other,Unemployed,25,8.9,8.9,Good,7.9,46.0,8,Low,No,Low
18.0,Female,Employed,57,7.2,4.7,Poor,7.6,12.0,5,Moderate,No,Moderate
63.0,Other,Self-Employed,24,7.8,5.3,Average,0.2,41.0,0,Low,No,Low
54.0,Female,Self-Employed,37,7.6,,Good,5.8,60.0,5,Moderate,No,Low
53.0,Other,Self-Employed,48,12.1,6.8,Average,2.7,15.0,4,High,Yes,High
49.0,Other,Student,26,10.8,7.8,Good,5.6,38.0,8,Low,No,Moderate
63.0,Male,Self-Employed,24,5.7,9.5,Excellent,6.9,39.0,3,Low,No,Low
34.0,Female,Employed,43,3.3,9.5,Excellent,4.3,8.0,2,Low,No,Low
20.0,Female,Student,24,10.3,8.3,Good,0.5,5.0,6,Moderate,No,Low
45.0,Male,Unemployed,27,5.5,9.5,Excellent,7.1,42.0,3,Low,No,Low
40.0,Male,Unemployed,35,9.9,6.3,Average,6.4,32.0,3,Moderate,No,Low
38.0,Male,Student,39,3.3,8.2,Good,1.9,38.0,3,Low,No,Low
33.0,Female,Employed,42,13.2,5.2,Average,,20.0,2,Moderate,No,Moderate
54.0,Other,Self-Employed,53,12.5,4.4,Poor,7.3,45.0,3,Moderate,No,Moderate
39.0,Other,Unemployed,20,11.2,6.2,Average,5.5,46.0,5,Low,No,Low
28.0,Other,Employed,50,9.5,5.0,Average,2.3,15.0,4,Moderate,No,High
27.0,Other,Employed,62,7.9,4.3,Poor,3.4,18.0,0,Moderate,No,Moderate
46.0,Male,Student,34,7.0,7.9,Good,7.9,45.0,5,Low,No,Low
36.0,Female,Employed,43,8.1,9.8,Excellent,7.3,60.0,0,Low,No,Low
19.0,Male,Unemployed,46,6.5,5.1,Average,2.0,,5,Moderate,No,Moderate
20.0,Male,Employed,65,12.5,8.7,Good,3.9,49.0,1,Moderate,No,Moderate
21.0,Female,Unemployed,36,14.0,5.2,Average,0.8,26.0,7,Moderate,No,High
25.0,Female,Employed,20,13.1,7.7,Good,6.7,56.0,1,Low,No,Low
24.0,Male,Student,34,11.3,4.4,Poor,4.4,46.0,1,Moderate,No,High
61.0,Other,Unemployed,40,4.6,9.4,Excellent,8.1,16.0,7,Low,No,Low
27.0,Female,Self-Employed,69,10.9,5.3,Average,8.9,12.0,4,High,Yes,High
51.0,Other,Employed,20,11.7,5.4,Average,1.0,11.0,4,Moderate,No,Low
