Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Burnout_Score,Productivity_Score,Mental_Health_Status
36.0,Other,Student,34,12.0,8.8,Good,3.7,18.0,6,Moderate,No,Moderate,45,60.0,Needs Attention
51.0,Female,Employed,49,13.7,5.0,Average,8.4,22.0,5,Moderate,No,Moderate,59,45.0,Needs Attention
57.0,Male,Student,69,8.7,6.2,Average,,29.0,2,Moderate,No,Moderate,54,,Needs Attention
45.0,Female,Self-Employed,53,12.0,8.0,Good,8.3,0.0,8,Moderate,No,Moderate,42,34.0,Needs Attention
,Female,Student,61,12.1,9.9,Excellent,7.6,32.0,0,Moderate,No,Moderate,47,58.0,Needs Attention
58.0,Other,Unemployed,52,10.5,5.3,Average,1.1,23.0,1,Moderate,No,Moderate,40,59.0,Needs Attention
23.0,Female,Unemployed,50,14.0,4.6,Poor,5.9,46.0,2,Moderate,No,Moderate,53,65.0,Needs Attention
46.0,Female,Student,47,8.7,8.6,Good,1.0,15.0,8,Moderate,No,Moderate,58,43.0,Needs Attention
54.0,Male,Unemployed,42,4.8,9.8,Excellent,4.4,27.0,6,Low,No,Low,8,95.0,Healthy
53.0,Male,Student,60,4.5,9.1,Excellent,5.8,14.0,6,Moderate,No,Moderate,47,42.0,Needs Attention
30.0,Female,Student,42,5.9,8.1,Good,9.8,37.0,2,Low,No,Low,0,94.0,Healthy
29.0,Male,Unemployed,27,7.6,4.6,Poor,8.3,10.0,5,Low,No,Moderate,41,73.0,Needs Attention
34.0,Male,Student,40,4.5,5.6,Average,3.4,4.0,6,Low,No,Low,18,72.0,Healthy
34.0,Male,Self-Employed,63,5.4,8.6,Good,,21.0,0,Moderate,No,Moderate,42,48.0,Needs Attention
43.0,Female,Unemployed,60,5.6,5.1,Average,0.9,33.0,1,Moderate,No,Moderate,58,29.0,Needs Attention
30.0,Female,Self-Employed,39,7.4,6.1,Average,8.2,43.0,8,Moderate,No,Moderate,62,53.0,Needs Attention
53.0,Female,Student,65,2.2,8.5,Good,4.2,,8,Low,No,Low,23,61.0,Healthy
37.0,Male,Employed,46,12.0,6.7,Average,8.8,25.0,8,Moderate,No,Moderate,53,51.0,Needs Attention
37.0,Male,Unemployed,65,5.7,7.0,Good,4.4,59.0,8,High,No,Moderate,59,32.0,Critical
21.0,Male,Employed,35,9.6,8.1,Good,6.1,5.0,1,Low,No,Moderate,43,60.0,Needs Attention
19.0,Male,Employed,69,6.9,7.6,Good,7.3,60.0,7,High,Yes,Moderate,57,31.0,Needs Attention
53.0,Male,Employed,58,4.2,4.7,Poor,3.3,5.0,7,High,Yes,High,67,27.0,Critical
51.0,Male,Student,42,10.3,5.4,Average,4.2,41.0,2,Moderate,No,Moderate,54,37.0,Needs Attention
50.0,Male,Self-Employed,64,5.1,7.9,Good,5.9,12.0,8,High,Yes,High,78,20.0,Critical
54.0,Male,Employed,24,6.5,8.1,Good,4.1,55.0,8,Low,No,Low,0,100.0,Healthy
28.0,Female,Employed,38,9.4,6.2,Average,4.9,48.0,7,Moderate,No,Low,30,83.0,Healthy
60.0,Female,Employed,65,4.0,6.2,Average,2.8,3.0,2,Moderate,No,High,75,51.0,Critical
35.0,Male,Self-Employed,22,12.3,,Excellent,4.1,49.0,0,Low,No,Low,5,95.0,Healthy
61.0,Female,Unemployed,37,6.8,4.4,Poor,6.6,31.0,1,Moderate,No,Low,37,57.0,Healthy
47.0,Other,Self-Employed,68,6.7,,Good,3.2,34.0,1,Moderate,No,High,81,28.0,Critical
39.0,Male,Unemployed,29,11.1,6.4,Average,1.1,60.0,0,Low,No,Low,15,92.0,Healthy
23.0,Other,Self-Employed,68,4.8,9.5,Excellent,8.6,6.0,1,Moderate,No,Low,38,43.0,Healthy
61.0,Male,Unemployed,52,5.3,6.6,Average,5.6,55.0,0,Low,No,Low,0,100.0,Healthy
21.0,Female,Self-Employed,70,2.7,5.0,Average,0.1,21.0,6,High,Yes,High,79,28.0,Critical
19.0,Other,Self-Employed,53,9.5,9.6,Excellent,2.1,49.0,0,Low,No,Low,20,61.0,Healthy
45.0,Female,Self-Employed,54,3.0,8.2,Good,2.0,14.0,0,Moderate,No,Moderate,43,78.0,Needs Attention
28.0,Other,Self-Employed,67,10.8,6.7,Average,3.6,52.0,4,High,Yes,High,84,17.0,Critical
31.0,Other,Employed,31,6.6,7.4,Good,0.5,15.0,3,Moderate,No,Moderate,55,63.0,Needs Attention
64.0,Male,Self-Employed,64,13.6,7.8,Good,1.9,8.0,3,High,Yes,High,100,0.0,Critical
23.0,Male,Unemployed,46,11.5,9.2,Excellent,6.3,26.0,1,Moderate,No,Low,33,72.0,Healthy
19.0,Male,Self-Employed,63,13.0,8.3,Good,3.8,44.0,2,High,Yes,High,77,12.0,Critical
30.0,Male,Student,46,12.8,5.4,Average,2.7,8.0,6,Moderate,No,High,66,31.0,Critical
29.0,Male,Employed,40,8.3,9.0,Excellent,8.4,22.0,1,Low,No,Low,33,74.0,Healthy
58.0,Female,Employed,57,9.1,7.0,Good,6.0,25.0,7,Moderate,No,Moderate,56,44.0,Needs Attention
34.0,Male,Employed,31,9.0,9.3,Excellent,9.0,55.0,1,Low,No,Low,0,100.0,Healthy
41.0,Male,Employed,28,3.3,6.4,Average,9.9,32.0,8,Low,No,Low,14,77.0,Healthy
19.0,Male,Employed,59,12.3,5.2,Average,1.8,23.0,7,High,Yes,High,92,1.0,Critical
33.0,Female,Employed,23,6.2,7.2,Good,6.8,,1,Low,No,Low,13,90.0,Healthy
41.0,Female,Unemployed,59,2.7,6.8,Average,5.9,13.0,6,Moderate,No,Moderate,55,68.0,Needs Attention
38.0,Female,Self-Employed,26,5.0,7.2,Good,2.0,7.0,8,Low,No,Low,23,75.0,Healthy
63.0,Female,Unemployed,28,7.6,9.9,Excellent,6.2,37.0,7,Low,No,Low,0,98.0,Healthy
22.0,Other,Student,40,5.3,7.3,Good,1.9,34.0,2,Moderate,No,Low,37,52.0,Healthy
49.0,Female,Employed,65,13.8,5.5,Average,2.9,17.0,7,High,Yes,High,95,9.0,Critical
54.0,Female,Unemployed,60,7.0,9.3,Excellent,,8.0,5,Moderate,No,Low,27,44.0,Healthy
65.0,Other,Self-Employed,47,8.9,8.1,Good,0.7,55.0,2,Low,No,Low,29,,Healthy
25.0,Male,Self-Employed,44,10.2,7.7,Good,9.7,60.0,1,Low,No,Low,14,100.0,Healthy
31.0,Other,Employed,48,5.1,9.4,Excellent,5.4,51.0,5,Low,No,Low,37,77.0,Healthy
22.0,Male,Self-Employed,48,3.0,5.1,Average,0.7,2.0,5,Moderate,No,Moderate,40,38.0,Needs Attention
20.0,Male,Student,33,11.5,4.1,Poor,0.1,13.0,3,High,Yes,High,91,33.0,Critical
52.0,Male,Student,37,6.2,5.5,Average,0.5,3.0,3,Moderate,No,Moderate,64,68.0,Needs Attention
24.0,Female,Unemployed,46,12.9,6.4,Average,2.3,52.0,2,Moderate,No,High,70,42.0,Critical
29.0,Other,Student,51,6.0,5.2,Average,2.0,12.0,6,Moderate,No,Moderate,56,51.0,Needs Attention
62.0,Other,Employed,69,7.6,8.5,Good,8.1,9.0,4,High,Yes,High,72,22.0,Critical
35.0,Female,Student,47,6.2,8.2,Good,2.5,15.0,5,Moderate,No,Moderate,46,46.0,Needs Attention
28.0,Male,Student,56,10.8,4.5,Poor,0.4,36.0,3,Moderate,No,Moderate,50,39.0,Needs Attention
48.0,Female,Employed,25,11.6,9.3,Excellent,3.1,51.0,2,Low,No,Low,10,84.0,Healthy
59.0,Male,Student,70,2.2,5.0,Average,9.2,2.0,0,Moderate,No,Moderate,46,43.0,Needs Attention
44.0,Male,Student,70,11.0,4.9,Poor,0.6,6.0,1,High,Yes,High,100,0.0,Critical
34.0,Other,Student,49,13.4,7.9,Good,2.8,39.0,7,High,Yes,High,82,22.0,Critical
20.0,Male,Unemployed,63,3.8,7.2,Good,8.4,44.0,8,Low,No,Moderate,40,77.0,Needs Attention
64.0,Other,Student,32,7.6,5.8,Average,3.9,35.0,0,Low,No,Low,17,99.0,Healthy
37.0,Male,Employed,46,12.9,4.1,Poor,8.7,27.0,8,Moderate,No,Moderate,50,23.0,Needs Attention
64.0,Male,Employed,59,7.2,4.2,Poor,0.5,47.0,7,Moderate,No,Moderate,52,38.0,Needs Attention
41.0,Female,Employed,26,2.8,6.7,Average,3.0,53.0,7,Low,No,Low,0,94.0,Healthy
58.0,Other,Employed,51,12.9,5.5,Average,4.9,40.0,8,High,Yes,High,83,36.0,Critical
18.0,Other,Employed,20,6.0,7.2,Good,2.0,1.0,3,Low,No,Low,10,92.0,Healthy
19.0,Male,Unemployed,34,3.1,4.5,Poor,1.3,34.0,1,Low,No,Low,26,68.0,Healthy
37.0,Male,Unemployed,43,9.5,8.0,Good,7.1,13.0,6,Low,No,Low,21,75.0,Healthy
26.0,Female,Unemployed,44,13.7,5.7,Average,1.5,20.0,4,Moderate,No,Moderate,62,29.0,Needs Attention
58.0,Male,Employed,64,13.8,5.6,Average,6.1,2.0,2,High,Yes,Moderate,59,24.0,Needs Attention
59.0,Female,Unemployed,50,4.1,7.6,Good,0.6,36.0,7,Moderate,No,Moderate,48,65.0,Needs Attention
40.0,Female,Unemployed,36,3.5,5.8,Average,3.5,15.0,2,Low,No,Low,22,100.0,Healthy
32.0,Female,Unemployed,52,4.4,6.7,Average,0.6,29.0,4,Moderate,No,Low,35,53.0,Healthy
30.0,Male,Employed,33,7.3,6.1,Average,5.7,27.0,5,Low,No,Low,11,100.0,Healthy
20.0,Other,Employed,22,5.0,7.2,Good,9.5,1.0,8,Low,No,Low,0,96.0,Healthy
41.0,Male,Employed,30,5.8,6.1,Average,2.4,57.0,7,Low,No,Moderate,44,56.0,Needs Attention
29.0,Male,Employed,39,9.6,5.2,Average,7.6,32.0,2,Moderate,No,Moderate,53,53.0,Needs Attention
20.0,Male,Self-Employed,68,2.9,7.1,Good,7.4,35.0,6,Moderate,No,Low,28,55.0,Healthy
61.0,Female,Self-Employed,57,9.4,6.4,Average,8.4,55.0,8,Moderate,No,Moderate,53,,Needs Attention
41.0,Female,Self-Employed,32,6.4,9.6,Excellent,7.2,10.0,2,Low,No,Low,0,,Healthy
34.0,Male,Student,26,13.7,9.0,Excellent,7.8,41.0,7,Low,No,Low,23,87.0,Healthy
37.0,Male,Self-Employed,47,4.6,5.4,Average,5.4,49.0,3,Low,No,Low,29,86.0,Healthy
58.0,Female,Self-Employed,69,10.4,7.3,Good,9.9,27.0,5,Moderate,No,Moderate,41,63.0,Needs Attention
31.0,Other,Self-Employed,40,13.1,5.7,Average,1.3,14.0,1,Moderate,No,Moderate,54,47.0,Needs Attention
58.0,Male,Employed,27,6.7,5.1,Average,5.0,48.0,0,Low,No,Low,0,96.0,Healthy
24.0,Male,Student,59,10.6,5.7,Average,6.3,18.0,6,High,Yes,High,96,13.0,Critical
54.0,Other,Student,38,13.6,6.5,Average,0.8,18.0,3,High,Yes,High,85,27.0,Critical
42.0,Male,Unemployed,54,8.5,8.3,Good,3.0,37.0,8,Moderate,No,Moderate,42,56.0,Needs Attention
49.0,Female,Student,35,9.2,4.4,Poor,1.5,5.0,0,Low,No,Low,24,57.0,Healthy
60.0,Female,Employed,41,5.5,6.3,Average,1.3,47.0,8,Moderate,No,Moderate,59,48.0,Needs Attention
28.0,Male,Unemployed,25,12.3,5.9,Average,9.9,26.0,2,Low,No,Low,10,,Healthy
18.0,Female,Unemployed,26,9.3,4.2,Poor,4.0,17.0,5,Moderate,No,Low,37,66.0,Healthy
61.0,Male,Student,59,10.4,,Excellent,8.0,58.0,8,Moderate,No,Low,28,44.0,Healthy
42.0,Other,Student,55,3.0,6.5,Average,4.2,27.0,3,Low,No,Low,36,86.0,Healthy
30.0,Female,Employed,28,13.7,7.8,Good,,46.0,4,Low,No,Low,25,82.0,Healthy
22.0,Male,Unemployed,66,12.0,9.2,Excellent,9.1,10.0,8,High,Yes,High,100,0.0,Critical
57.0,Female,Unemployed,38,12.0,9.7,Excellent,1.6,,6,Moderate,No,High,69,52.0,Critical
63.0,Female,Unemployed,49,8.2,6.3,Average,0.2,21.0,4,Moderate,No,Low,38,49.0,Healthy
43.0,Other,Employed,60,11.1,7.5,Good,8.4,53.0,1,Low,No,Low,35,76.0,Healthy
21.0,Other,Self-Employed,35,11.1,4.6,Poor,6.9,23.0,8,Moderate,No,High,76,32.0,Critical
21.0,Female,Employed,55,8.4,5.1,Average,3.4,0.0,6,Moderate,No,High,67,41.0,Critical
45.0,Female,Employed,39,2.7,7.9,Good,8.1,34.0,3,Low,No,Low,9,92.0,Healthy
65.0,Male,Unemployed,21,7.6,4.9,Poor,9.8,39.0,1,Low,No,Low,0,96.0,Healthy
53.0,Male,Self-Employed,41,7.1,7.5,Good,4.3,11.0,8,Low,No,Low,32,,Healthy
35.0,Other,Self-Employed,33,11.0,4.2,Poor,3.6,53.0,3,Moderate,No,Low,33,81.0,Healthy
60.0,Male,Employed,26,2.4,5.5,Average,0.9,33.0,0,Low,No,Low,13,100.0,Healthy
42.0,Male,Unemployed,25,2.1,4.5,Poor,2.3,47.0,8,Low,No,Low,0,96.0,Healthy
46.0,Other,Employed,51,7.0,5.8,Average,3.7,22.0,2,Moderate,No,Moderate,42,37.0,Needs Attention
48.0,Other,Employed,58,2.8,7.2,Good,9.5,51.0,3,Low,No,Low,20,94.0,Healthy
51.0,Male,Self-Employed,51,4.3,4.1,Poor,1.0,36.0,3,Moderate,No,High,66,43.0,Critical
53.0,Male,Employed,58,5.7,7.4,Good,7.9,16.0,3,Moderate,No,Moderate,47,25.0,Needs Attention
54.0,Female,Unemployed,20,13.8,4.6,Poor,4.7,26.0,8,Moderate,No,Moderate,62,47.0,Needs Attention
34.0,Female,Unemployed,42,,9.7,Excellent,3.6,45.0,2,Low,No,Low,6,84.0,Healthy
33.0,Male,Unemployed,37,8.5,6.9,Average,8.3,22.0,3,Moderate,No,Moderate,48,62.0,Needs Attention
54.0,Male,Employed,66,4.6,8.4,Good,5.7,5.0,1,Moderate,No,Moderate,54,39.0,Needs Attention
50.0,Female,Unemployed,60,6.9,9.1,Excellent,9.5,46.0,0,Low,No,Moderate,42,75.0,Needs Attention
31.0,Other,Self-Employed,26,11.5,7.2,Good,4.9,46.0,6,Low,No,Low,31,80.0,Healthy
34.0,Female,Employed,40,5.9,5.2,Average,2.8,30.0,7,Moderate,No,Low,34,45.0,Healthy
24.0,Female,Unemployed,64,6.3,4.7,Poor,3.2,43.0,3,High,Yes,High,65,22.0,Critical
37.0,Male,Employed,26,7.3,4.8,Poor,6.4,24.0,8,Moderate,No,Low,23,,Healthy
50.0,Other,Student,45,6.0,4.8,Poor,0.6,49.0,1,Moderate,No,Moderate,44,61.0,Needs Attention
22.0,Female,Self-Employed,38,3.9,9.9,Excellent,1.6,34.0,1,Low,No,Low,9,100.0,Healthy
24.0,Male,Unemployed,65,3.7,5.9,Average,0.6,55.0,1,Moderate,No,Moderate,52,48.0,Needs Attention
61.0,Female,Self-Employed,28,10.1,4.4,Poor,9.7,2.0,7,Moderate,No,Low,26,81.0,Healthy
20.0,Male,Self-Employed,60,12.9,5.9,Average,3.5,39.0,8,High,Yes,High,100,0.0,Critical
21.0,Male,Employed,20,12.0,4.9,Poor,9.3,7.0,6,Low,No,Low,19,88.0,Healthy
61.0,Female,Employed,20,2.4,6.9,Average,,31.0,4,Low,No,Low,11,90.0,Healthy
39.0,Other,Student,65,3.5,5.9,Average,6.6,39.0,1,Moderate,No,High,70,34.0,Critical
23.0,Female,Unemployed,64,2.6,5.6,Average,6.4,39.0,7,Moderate,No,High,70,42.0,Critical
55.0,Male,Employed,68,,5.5,Average,9.2,40.0,1,Moderate,No,Moderate,54,41.0,Needs Attention
61.0,Female,Unemployed,46,9.9,7.9,Good,6.7,30.0,7,Moderate,No,Moderate,57,,Needs Attention
29.0,Female,Employed,48,4.0,5.2,Average,6.2,29.0,6,Low,No,Low,19,69.0,Healthy
56.0,Male,Self-Employed,53,3.4,4.5,Poor,4.8,2.0,8,Moderate,No,Low,38,50.0,Healthy
37.0,Other,Employed,43,3.3,9.3,Excellent,2.9,10.0,6,Moderate,No,Moderate,44,55.0,Needs Attention
39.0,Female,Unemployed,20,3.6,7.5,Good,9.2,44.0,5,Low,No,Low,0,90.0,Healthy
46.0,Male,Unemployed,33,4.4,8.7,Good,4.4,3.0,1,Low,No,Low,23,66.0,Healthy
51.0,Female,Employed,36,10.2,4.5,Poor,0.4,10.0,6,High,Yes,High,78,14.0,Critical
53.0,Male,Unemployed,56,3.2,4.8,Poor,4.4,20.0,7,Moderate,No,Moderate,52,34.0,Needs Attention
60.0,Male,Self-Employed,20,11.7,9.2,Excellent,4.0,44.0,4,Low,No,Low,0,99.0,Healthy
34.0,Male,Self-Employed,57,2.6,8.7,Good,4.7,10.0,5,Moderate,No,Moderate,43,33.0,Needs Attention
28.0,Other,Unemployed,48,5.8,8.2,Good,2.3,,2,Low,No,Low,7,85.0,Healthy
25.0,Female,Student,36,13.3,9.6,Excellent,4.2,11.0,0,Low,No,Low,2,94.0,Healthy
35.0,Other,Student,62,9.5,7.7,Good,7.5,1.0,4,Moderate,No,Moderate,45,56.0,Needs Attention
54.0,Female,Unemployed,51,9.0,9.6,Excellent,7.8,18.0,6,Moderate,No,High,69,40.0,Critical
51.0,Male,Employed,67,2.6,6.6,Average,6.7,54.0,2,Low,No,Low,20,70.0,Healthy
50.0,Female,Self-Employed,29,7.6,,Average,8.1,31.0,3,Low,No,Low,3,78.0,Healthy
49.0,Male,Student,52,10.4,5.8,Average,2.3,36.0,6,High,Yes,High,84,29.0,Critical
23.0,Female,Employed,32,13.2,4.1,Poor,9.6,38.0,4,Moderate,No,Moderate,42,55.0,Needs Attention
,Female,Employed,64,9.5,7.3,Good,3.9,41.0,6,High,Yes,High,82,11.0,Critical
50.0,Female,Student,62,10.9,7.8,Good,5.2,52.0,1,Moderate,No,Low,38,37.0,Healthy
35.0,Other,Unemployed,21,6.4,8.5,Good,9.1,52.0,7,Low,No,Low,0,100.0,Healthy
24.0,Other,Employed,56,7.3,5.3,Average,2.3,44.0,3,Moderate,No,Low,38,47.0,Healthy
47.0,Male,Self-Employed,58,2.2,5.4,Average,0.1,47.0,6,High,No,High,83,31.0,Critical
60.0,Other,Unemployed,61,12.5,9.1,Excellent,8.3,34.0,3,Moderate,No,High,70,22.0,Critical
59.0,Female,Employed,58,12.2,9.8,Excellent,0.9,37.0,6,High,Yes,High,75,19.0,Critical
54.0,Male,Employed,32,12.4,8.3,Good,2.3,16.0,5,Moderate,No,High,67,38.0,Critical
61.0,Female,Self-Employed,66,7.4,9.3,Excellent,6.7,18.0,1,Low,No,Low,14,74.0,Healthy
18.0,Male,Employed,25,10.9,9.2,Excellent,3.0,27.0,2,Low,No,Low,11,93.0,Healthy
53.0,Male,Unemployed,62,8.1,9.7,Excellent,1.2,32.0,4,Moderate,No,Low,29,75.0,Healthy
37.0,Female,Student,33,11.6,4.3,Poor,6.1,50.0,2,Moderate,No,Moderate,51,46.0,Needs Attention
48.0,Other,Student,29,10.6,8.8,Good,4.8,15.0,7,Moderate,No,Moderate,57,41.0,Needs Attention
18.0,Male,Unemployed,41,12.1,4.7,Poor,4.7,11.0,1,High,Yes,High,73,38.0,Critical
64.0,Male,Employed,36,8.3,5.2,Average,3.7,,8,Moderate,No,Moderate,64,34.0,Needs Attention
31.0,Female,Unemployed,27,13.8,7.4,Good,8.8,4.0,7,Moderate,No,High,79,43.0,Critical
64.0,Male,Unemployed,57,,7.4,Good,5.9,7.0,8,High,Yes,Moderate,56,10.0,Needs Attention
45.0,Other,Self-Employed,40,9.9,9.6,Excellent,4.7,41.0,0,Low,No,Low,0,100.0,Healthy
55.0,Female,Unemployed,57,6.2,5.1,Average,4.9,21.0,6,High,Yes,High,68,2.0,Critical
23.0,Other,Employed,21,2.7,8.1,Good,4.3,18.0,2,Low,No,Low,8,95.0,Healthy
41.0,Male,Self-Employed,24,13.0,4.6,Poor,6.8,21.0,8,High,No,Moderate,57,26.0,Critical
52.0,Female,Unemployed,50,11.3,6.3,Average,1.0,56.0,5,Moderate,No,High,77,32.0,Critical
64.0,Male,Employed,68,9.7,9.4,Excellent,6.0,2.0,5,High,No,Moderate,54,27.0,Needs Attention
43.0,Female,Student,51,13.2,8.5,Good,4.2,3.0,0,Moderate,No,Low,31,44.0,Healthy
29.0,Other,Self-Employed,37,4.9,5.9,Average,2.6,20.0,5,Moderate,No,Moderate,41,61.0,Needs Attention
39.0,Female,Employed,28,8.5,9.4,Excellent,0.9,48.0,1,Low,No,Low,26,87.0,Healthy
55.0,Male,Student,54,4.9,4.6,Poor,2.3,48.0,1,Low,No,Low,19,71.0,Healthy
55.0,Other,Employed,34,8.9,8.3,Good,5.8,3.0,0,Low,No,Low,0,86.0,Healthy
46.0,Female,Self-Employed,68,6.9,9.1,Excellent,6.3,29.0,3,Moderate,No,Moderate,61,39.0,Needs Attention
26.0,Female,Self-Employed,61,3.5,5.5,Average,5.0,45.0,1,Low,No,Low,35,64.0,Healthy
36.0,Female,Employed,58,3.5,8.9,Good,8.4,41.0,7,Moderate,No,Low,34,48.0,Healthy
30.0,Male,Unemployed,62,4.6,4.4,Poor,1.6,12.0,3,High,Yes,High,99,3.0,Critical
29.0,Female,Unemployed,56,6.6,7.8,Good,5.0,8.0,3,Moderate,No,Moderate,45,42.0,Needs Attention
65.0,Other,Student,63,11.8,5.5,Average,5.8,37.0,2,Moderate,No,Moderate,53,19.0,Needs Attention
60.0,Other,Unemployed,43,6.3,8.0,Good,8.2,1.0,0,Low,No,Moderate,45,67.0,Needs Attention
40.0,Other,Student,55,4.6,6.4,Average,2.5,16.0,6,Moderate,No,Moderate,51,59.0,Needs Attention
59.0,Male,Self-Employed,60,,5.1,Average,2.9,60.0,7,Moderate,No,High,71,32.0,Critical
55.0,Female,Self-Employed,60,6.9,7.4,Good,9.6,40.0,4,Moderate,No,Moderate,57,37.0,Needs Attention
65.0,Female,Unemployed,63,11.6,4.9,Poor,7.4,6.0,4,High,Yes,High,83,6.0,Critical
36.0,Other,Unemployed,58,2.2,7.2,Good,5.5,36.0,7,Moderate,No,Moderate,61,36.0,Needs Attention
40.0,Female,Student,32,8.8,5.5,Average,9.3,22.0,2,Low,No,Moderate,42,94.0,Needs Attention
49.0,Female,Employed,31,6.1,8.6,Good,2.5,59.0,1,Low,No,Low,18,,Healthy
56.0,Female,Self-Employed,66,8.9,8.6,Good,7.0,0.0,3,Moderate,No,Low,38,60.0,Healthy
29.0,Other,Student,26,7.5,8.4,Good,0.7,3.0,7,Low,No,Low,13,78.0,Healthy
53.0,Male,Student,38,9.5,7.5,Good,8.6,40.0,4,Low,No,Low,0,100.0,Healthy
23.0,Female,Self-Employed,38,12.5,7.3,Good,0.3,14.0,7,Moderate,No,Moderate,63,35.0,Needs Attention
18.0,Other,Unemployed,25,2.2,4.4,Poor,4.7,10.0,6,Low,No,Low,4,98.0,Healthy
39.0,Other,Unemployed,59,4.2,6.8,Average,8.4,19.0,1,Moderate,No,Low,33,64.0,Healthy
45.0,Female,Student,22,8.1,8.3,Good,7.7,2.0,3,Low,No,Low,9,87.0,Healthy
53.0,Other,Student,63,7.1,5.0,Average,3.9,11.0,7,High,Yes,High,80,35.0,Critical
40.0,Female,Self-Employed,22,13.1,9.6,Excellent,0.9,44.0,2,Low,No,Low,27,96.0,Healthy
39.0,Male,Self-Employed,68,3.8,6.1,Average,2.7,13.0,5,High,No,Moderate,49,41.0,Needs Attention
31.0,Female,Employed,62,2.9,8.6,Good,1.7,10.0,8,High,Yes,High,96,21.0,Critical
28.0,Female,Student,41,5.7,5.6,Average,7.7,40.0,3,Moderate,No,Low,26,49.0,Healthy
64.0,Female,Unemployed,23,4.2,7.5,Good,1.4,36.0,1,Low,No,Low,0,83.0,Healthy
47.0,Female,Student,23,8.3,8.6,Good,2.6,26.0,7,Low,No,Moderate,44,72.0,Needs Attention
23.0,Other,Unemployed,69,7.5,4.9,Poor,,8.0,1,High,Yes,High,78,27.0,Critical
26.0,Female,Unemployed,65,6.2,6.9,Average,5.2,39.0,8,High,Yes,High,78,18.0,Critical
65.0,Other,Employed,45,6.0,8.7,Good,0.3,2.0,8,High,No,High,85,26.0,Critical
30.0,Male,Unemployed,53,8.2,7.1,Good,2.7,9.0,6,Moderate,No,Moderate,59,50.0,Needs Attention
42.0,Male,Employed,32,2.7,4.8,Poor,2.4,59.0,6,Low,No,Low,29,77.0,Healthy
21.0,Female,Employed,40,3.0,6.0,Average,5.6,20.0,5,Low,No,Low,15,68.0,Healthy
20.0,Female,Employed,47,5.5,9.3,Excellent,2.7,14.0,2,Moderate,No,Low,24,60.0,Healthy
53.0,Female,Student,22,13.7,9.0,Excellent,0.1,7.0,8,Moderate,No,High,70,27.0,Critical
65.0,Female,Student,40,3.8,9.9,Excellent,3.4,19.0,7,Low,No,Low,22,96.0,Healthy
50.0,Other,Unemployed,48,4.1,8.9,Good,6.5,,7,Low,No,Moderate,40,66.0,Needs Attention
46.0,Other,Student,43,2.1,5.4,Average,7.2,15.0,8,Moderate,No,Moderate,61,33.0,Needs Attention
62.0,Male,Student,47,2.5,6.5,Average,9.7,45.0,7,Low,No,Low,8,82.0,Healthy
47.0,Other,Self-Employed,38,2.5,5.5,Average,9.3,8.0,0,Low,No,Low,0,96.0,Healthy
51.0,Male,Unemployed,55,12.6,9.8,Excellent,9.4,31.0,4,Moderate,No,High,75,34.0,Critical
21.0,Male,Student,43,2.1,8.0,Good,6.7,,1,Low,No,Low,14,100.0,Healthy
49.0,Other,Student,63,8.9,8.2,Good,5.9,54.0,3,Moderate,No,Moderate,59,23.0,Needs Attention
27.0,Other,Self-Employed,68,10.0,8.0,Good,,58.0,8,High,Yes,High,89,,Critical
23.0,Female,Student,64,11.0,4.4,Poor,7.5,4.0,7,High,Yes,Moderate,60,19.0,Needs Attention
51.0,Other,Unemployed,29,10.0,4.1,Poor,,57.0,0,Low,No,Low,15,,Healthy
33.0,Male,Employed,57,8.2,5.5,Average,,24.0,3,High,Yes,High,69,22.0,Critical
43.0,Female,Self-Employed,62,11.7,6.6,Average,6.1,38.0,2,High,Yes,High,87,9.0,Critical
49.0,Female,Unemployed,45,14.0,7.2,Good,9.0,44.0,7,Moderate,No,Moderate,50,61.0,Needs Attention
33.0,Male,Unemployed,43,5.7,5.3,Average,6.3,45.0,1,Low,No,Low,33,81.0,Healthy
59.0,Male,Self-Employed,33,12.9,8.8,Good,3.2,24.0,1,Moderate,No,Low,39,45.0,Healthy
35.0,Male,Self-Employed,70,8.7,,Good,7.7,12.0,2,High,Yes,High,88,19.0,Critical
63.0,Female,Student,25,6.0,5.5,Average,8.2,29.0,1,Low,No,Low,10,100.0,Healthy
,Other,Employed,28,9.8,9.3,Excellent,7.3,8.0,3,Low,No,Low,19,,Healthy
33.0,Other,Student,29,9.1,4.5,Poor,8.9,47.0,6,Moderate,No,Moderate,49,77.0,Needs Attention
58.0,Other,Unemployed,31,5.3,5.9,Average,9.2,4.0,1,Low,No,Low,0,100.0,Healthy
58.0,Male,Unemployed,69,14.0,4.3,Poor,8.4,56.0,0,High,Yes,High,76,34.0,Critical
57.0,Male,Self-Employed,30,13.8,9.6,Excellent,3.6,38.0,2,Low,No,Low,7,100.0,Healthy
43.0,Male,Self-Employed,68,7.4,6.3,Average,1.3,60.0,5,High,Yes,High,74,10.0,Critical
19.0,Female,Employed,59,13.9,8.4,Good,6.4,13.0,4,Moderate,No,Moderate,58,28.0,Needs Attention
44.0,Other,Student,22,4.2,,Good,4.4,57.0,3,Low,No,Low,8,98.0,Healthy
